,Consumo_estimado,Fonte,Potência_Instalada,Potência_painel,area_modulos,n_modulos,peso_sistema,preco_max,preco_min
262,2.720kWh,NeoSolar,23.14 kWp,275.4761904761905,161.96,84.0,2198.08,118002.36,94864.64
263,2.730kWh,NeoSolar,23.22 kWp,276.42857142857144,162.57,84.0,2206.32,118444.31,95219.94
264,2.740kWh,NeoSolar,23.31 kWp,274.2352941176471,163.18,85.0,2214.55,118886.27,95575.24
265,2.750kWh,NeoSolar,23.40 kWp,275.29411764705884,163.78,85.0,2222.78,119328.23,95930.53
266,2.760kWh,NeoSolar,23.48 kWp,276.2352941176471,164.39,85.0,2231.01,119770.18,96285.83
267,2.770kWh,NeoSolar,23.57 kWp,274.06976744186045,165.0,86.0,2239.25,120212.14,96641.13
268,2.780kWh,NeoSolar,23.66 kWp,275.1162790697674,165.6,86.0,2247.48,120654.1,96996.43
269,2.790kWh,NeoSolar,23.74 kWp,276.04651162790697,166.21,86.0,2255.71,121096.05,97351.73
270,2.800kWh,NeoSolar,23.83 kWp,273.9080459770115,166.82,87.0,2263.94,121538.01,97707.03
271,2.810kWh,NeoSolar,23.92 kWp,274.9425287356322,167.42,87.0,2272.18,121979.96,98062.32
272,2.820kWh,NeoSolar,24.00 kWp,275.86206896551727,168.03,87.0,2280.41,122421.92,98417.62
273,2.830kWh,NeoSolar,24.09 kWp,273.75,168.64,88.0,2288.64,122863.88,98772.92
274,2.840kWh,NeoSolar,24.18 kWp,274.77272727272725,169.24,88.0,2296.87,123305.83,99128.22
275,2.850kWh,NeoSolar,24.26 kWp,275.6818181818182,169.85,88.0,2305.11,123747.79,99483.52
276,2.860kWh,NeoSolar,24.35 kWp,273.59550561797755,170.46,89.0,2313.34,124189.75,99838.82
277,2.870kWh,NeoSolar,24.44 kWp,274.60674157303373,171.06,89.0,2321.57,124631.7,100194.11
278,2.880kWh,NeoSolar,24.52 kWp,275.5056179775281,171.67,89.0,2329.8,125073.66,100549.41
279,2.890kWh,NeoSolar,24.61 kWp,276.5168539325843,172.28,89.0,2338.04,125515.62,100904.71
280,2.900kWh,NeoSolar,24.70 kWp,274.44444444444446,172.88,90.0,2346.27,125957.57,101260.01
281,2.910kWh,NeoSolar,24.78 kWp,275.3333333333333,173.49,90.0,2354.5,126399.53,101615.31
282,2.920kWh,NeoSolar,24.87 kWp,276.3333333333333,174.1,90.0,2362.73,126841.48,101970.61
283,2.930kWh,NeoSolar,24.96 kWp,274.2857142857143,174.7,91.0,2370.97,127283.44,102325.9
284,2.940kWh,NeoSolar,25.04 kWp,275.16483516483515,175.31,91.0,2379.2,127725.4,102681.2
285,2.950kWh,NeoSolar,25.13 kWp,276.15384615384613,175.92,91.0,2387.43,128167.35,103036.5
286,2.960kWh,NeoSolar,25.22 kWp,274.1304347826087,176.52,92.0,2395.66,128609.31,103391.8
287,2.970kWh,NeoSolar,25.30 kWp,275.0,177.13,92.0,2403.9,129051.27,103747.1
288,2.980kWh,NeoSolar,25.39 kWp,275.9782608695652,177.74,92.0,2412.13,129493.22,104102.4
289,2.990kWh,NeoSolar,25.48 kWp,273.97849462365593,178.34,93.0,2420.36,129935.18,104457.69
290,3.000kWh,NeoSolar,25.56 kWp,274.83870967741933,178.95,93.0,2428.59,130377.14,104812.99
291,3.010kWh,NeoSolar,25.65 kWp,275.80645161290323,179.56,93.0,2436.83,130819.09,105168.29
292,3.020kWh,NeoSolar,25.74 kWp,273.82978723404256,180.16,94.0,2445.06,131261.05,105523.59
293,3.030kWh,NeoSolar,25.82 kWp,274.6808510638298,180.77,94.0,2453.29,131703.01,105878.89
294,3.040kWh,NeoSolar,25.91 kWp,275.63829787234044,181.38,94.0,2461.52,132144.96,106234.18
295,3.050kWh,NeoSolar,26.00 kWp,273.6842105263158,181.98,95.0,2469.76,132586.92,106589.48
296,3.060kWh,NeoSolar,26.08 kWp,274.5263157894737,182.59,95.0,2477.99,133028.87,106944.78
297,3.070kWh,NeoSolar,26.17 kWp,275.4736842105263,183.2,95.0,2486.22,133470.83,107300.08
298,3.080kWh,NeoSolar,26.26 kWp,276.42105263157896,183.8,95.0,2494.45,133912.79,107655.38
299,3.090kWh,NeoSolar,26.34 kWp,274.375,184.41,96.0,2502.69,134354.74,108010.68
300,3.100kWh,NeoSolar,26.43 kWp,275.3125,185.02,96.0,2510.92,134796.7,108365.97
301,3.110kWh,NeoSolar,26.52 kWp,276.25,185.62,96.0,2519.15,135238.66,108721.27
302,3.120kWh,NeoSolar,26.60 kWp,274.22680412371136,186.23,97.0,2527.38,135680.61,109076.57
303,3.130kWh,NeoSolar,26.69 kWp,275.1546391752577,186.83,97.0,2535.62,136122.57,109431.87
304,3.140kWh,NeoSolar,26.78 kWp,276.08247422680415,187.44,97.0,2543.85,136564.53,109787.17
305,3.150kWh,NeoSolar,26.86 kWp,274.0816326530612,188.05,98.0,2552.08,137006.48,110142.47
306,3.160kWh,NeoSolar,26.95 kWp,275.0,188.65,98.0,2560.31,137448.44,110497.76
307,3.170kWh,NeoSolar,27.04 kWp,275.9183673469388,189.26,98.0,2568.55,137890.39,110853.06
308,3.180kWh,NeoSolar,27.12 kWp,273.93939393939394,189.87,99.0,2576.78,138332.35,111208.36
309,3.190kWh,NeoSolar,27.21 kWp,274.8484848484849,190.47,99.0,2585.01,138774.31,111563.66
310,3.200kWh,NeoSolar,27.30 kWp,275.75757575757575,191.08,99.0,2593.24,139216.26,111918.96
311,3.210kWh,NeoSolar,27.38 kWp,273.8,191.69,100.0,2601.48,139658.22,112274.26
312,3.220kWh,NeoSolar,27.47 kWp,274.7,192.29,100.0,2609.71,140100.18,112629.55
313,3.230kWh,NeoSolar,27.56 kWp,275.6,192.9,100.0,2617.94,140542.13,112984.85
314,3.240kWh,NeoSolar,27.64 kWp,273.66336633663366,193.51,101.0,2626.17,140984.09,113340.15
315,3.250kWh,NeoSolar,27.73 kWp,274.55445544554453,194.11,101.0,2634.41,141426.05,113695.45
316,3.260kWh,NeoSolar,27.82 kWp,275.44554455445547,194.72,101.0,2642.64,141868.0,114050.75
317,3.270kWh,NeoSolar,27.90 kWp,276.23762376237624,195.33,101.0,2650.87,142309.96,114406.05
318,3.280kWh,NeoSolar,27.99 kWp,274.4117647058824,195.93,102.0,2659.1,142751.92,114761.34
319,3.290kWh,NeoSolar,28.08 kWp,275.29411764705884,196.54,102.0,2667.34,143193.87,115116.64
320,3.300kWh,NeoSolar,28.16 kWp,276.078431372549,197.15,102.0,2675.57,143635.83,115471.94
321,3.310kWh,NeoSolar,28.25 kWp,274.2718446601942,197.75,103.0,2683.8,144077.78,115827.24
322,3.320kWh,NeoSolar,28.34 kWp,275.1456310679612,198.36,103.0,2692.03,144519.74,116182.54
323,3.330kWh,NeoSolar,28.42 kWp,275.92233009708735,198.97,103.0,2700.27,144961.7,116537.83
324,3.340kWh,NeoSolar,28.51 kWp,274.13461538461536,199.57,104.0,2708.5,145403.65,116893.13
325,3.350kWh,NeoSolar,28.60 kWp,275.0,200.18,104.0,2716.73,145845.61,117248.43
326,3.360kWh,NeoSolar,28.68 kWp,275.7692307692308,200.79,104.0,2724.96,146287.57,117603.73
327,3.370kWh,NeoSolar,28.77 kWp,274.0,201.39,105.0,2733.2,146729.52,117959.03
328,3.380kWh,NeoSolar,28.86 kWp,274.85714285714283,202.0,105.0,2741.43,147171.48,118314.33
329,3.390kWh,NeoSolar,28.94 kWp,275.6190476190476,202.61,105.0,2749.66,147613.44,118669.62
330,3.400kWh,NeoSolar,29.03 kWp,273.8679245283019,203.21,106.0,2757.89,148055.39,119024.92
331,3.410kWh,NeoSolar,29.12 kWp,274.7169811320755,203.82,106.0,2766.13,148497.35,119380.22
332,3.420kWh,NeoSolar,29.20 kWp,275.47169811320754,204.43,106.0,2774.36,148939.3,119735.52
333,3.430kWh,NeoSolar,29.29 kWp,273.7383177570093,205.03,107.0,2782.59,149381.26,120090.82
334,3.440kWh,NeoSolar,29.38 kWp,274.57943925233644,205.64,107.0,2790.82,149823.22,120446.12
335,3.450kWh,NeoSolar,29.46 kWp,275.32710280373834,206.25,107.0,2799.06,150265.17,120801.41
336,3.460kWh,NeoSolar,29.55 kWp,276.1682242990654,206.85,107.0,2807.29,150707.13,121156.71
337,3.470kWh,NeoSolar,29.64 kWp,274.44444444444446,207.46,108.0,2815.52,151149.09,121512.01
338,3.480kWh,NeoSolar,29.72 kWp,275.18518518518516,208.07,108.0,2823.75,151591.04,121867.31
339,3.490kWh,NeoSolar,29.81 kWp,276.01851851851853,208.67,108.0,2831.99,152033.0,122222.61
340,3.500kWh,NeoSolar,29.90 kWp,274.3119266055046,209.28,109.0,2840.22,152474.96,122577.91
341,3.510kWh,NeoSolar,29.98 kWp,275.04587155963304,209.89,109.0,2848.45,152916.91,122933.2
342,3.520kWh,NeoSolar,30.07 kWp,275.8715596330275,210.49,109.0,2856.68,312731.81,204478.49
343,3.530kWh,NeoSolar,30.16 kWp,274.1818181818182,211.1,110.0,2864.92,313633.05,205067.77
344,3.540kWh,NeoSolar,30.24 kWp,274.90909090909093,211.71,110.0,2873.15,314534.3,205657.04
345,3.550kWh,NeoSolar,30.33 kWp,275.72727272727275,212.31,110.0,2881.38,315435.54,206246.32
346,3.560kWh,NeoSolar,30.42 kWp,274.05405405405406,212.92,111.0,2889.61,316336.79,206835.59
347,3.570kWh,NeoSolar,30.50 kWp,274.77477477477476,213.53,111.0,2897.85,317238.03,207424.87
348,3.580kWh,NeoSolar,30.59 kWp,275.5855855855856,214.13,111.0,2906.08,318139.28,208014.14
349,3.590kWh,NeoSolar,30.68 kWp,273.92857142857144,214.74,112.0,2914.31,319040.52,208603.42
350,3.600kWh,NeoSolar,30.76 kWp,274.64285714285717,215.35,112.0,2922.54,319941.77,209192.69
351,3.610kWh,NeoSolar,30.85 kWp,275.44642857142856,215.95,112.0,2930.78,320843.01,209781.97
352,3.620kWh,NeoSolar,30.94 kWp,276.25,216.56,112.0,2939.01,321744.25,210371.24
353,3.630kWh,NeoSolar,31.02 kWp,274.5132743362832,217.17,113.0,2947.24,322645.5,210960.52
354,3.640kWh,NeoSolar,31.11 kWp,275.30973451327435,217.77,113.0,2955.48,323546.74,211549.79
355,3.650kWh,NeoSolar,31.20 kWp,276.1061946902655,218.38,113.0,2963.71,324447.99,212139.07
356,3.660kWh,NeoSolar,31.28 kWp,274.3859649122807,218.99,114.0,2971.94,325349.23,212728.34
357,3.670kWh,NeoSolar,31.37 kWp,275.17543859649123,219.59,114.0,2980.17,326250.48,213317.62
358,3.680kWh,NeoSolar,31.46 kWp,275.96491228070175,220.2,114.0,2988.41,327151.72,213906.89
359,3.690kWh,NeoSolar,31.54 kWp,274.2608695652174,220.8,115.0,2996.64,328052.97,214496.17
360,3.700kWh,NeoSolar,31.63 kWp,275.04347826086956,221.41,115.0,3004.87,328954.21,215085.44
361,3.710kWh,NeoSolar,31.72 kWp,275.82608695652175,222.02,115.0,3013.1,329855.45,215674.72
362,3.720kWh,NeoSolar,31.80 kWp,274.13793103448273,222.62,116.0,3021.34,330756.7,216264.0
363,3.730kWh,NeoSolar,31.89 kWp,274.91379310344826,223.23,116.0,3029.57,331657.94,216853.27
364,3.740kWh,NeoSolar,31.98 kWp,275.6896551724138,223.84,116.0,3037.8,332559.19,217442.55
365,3.750kWh,NeoSolar,32.06 kWp,274.01709401709405,224.44,117.0,3046.03,333460.43,218031.82
366,3.760kWh,NeoSolar,32.15 kWp,274.78632478632477,225.05,117.0,3054.27,334361.68,218621.1
367,3.770kWh,NeoSolar,32.24 kWp,275.5555555555556,225.66,117.0,3062.5,335262.92,219210.37
368,3.780kWh,NeoSolar,32.32 kWp,273.89830508474574,226.26,118.0,3070.73,336164.17,219799.65
369,3.790kWh,NeoSolar,32.41 kWp,274.6610169491525,226.87,118.0,3078.96,337065.41,220388.92
370,3.800kWh,NeoSolar,32.50 kWp,275.4237288135593,227.48,118.0,3087.2,337966.65,220978.2
371,3.810kWh,NeoSolar,32.58 kWp,276.10169491525426,228.08,118.0,3095.43,338867.9,221567.47
372,3.820kWh,NeoSolar,32.67 kWp,274.5378151260504,228.69,119.0,3103.66,339769.14,222156.75
373,3.830kWh,NeoSolar,32.76 kWp,275.2941176470588,229.3,119.0,3111.89,340670.39,222746.02
374,3.840kWh,NeoSolar,32.84 kWp,275.96638655462186,229.9,119.0,3120.13,341571.63,223335.3
375,3.850kWh,NeoSolar,32.93 kWp,274.4166666666667,230.51,120.0,3128.36,342472.88,223924.57
376,3.860kWh,NeoSolar,33.02 kWp,275.1666666666667,231.12,120.0,3136.59,343374.12,224513.85
377,3.870kWh,NeoSolar,33.10 kWp,275.8333333333333,231.72,120.0,3144.82,344275.36,225103.12
378,3.880kWh,NeoSolar,33.19 kWp,274.297520661157,232.33,121.0,3153.06,345176.61,225692.4
379,3.890kWh,NeoSolar,33.28 kWp,275.0413223140496,232.94,121.0,3161.29,346077.85,226281.67
380,3.900kWh,NeoSolar,33.36 kWp,275.702479338843,233.54,121.0,3169.52,346979.1,226870.95
381,3.910kWh,NeoSolar,33.45 kWp,274.1803278688525,234.15,122.0,3177.75,347880.34,227460.22
382,3.920kWh,NeoSolar,33.54 kWp,274.91803278688525,234.76,122.0,3185.99,348781.59,228049.5
383,3.930kWh,NeoSolar,33.62 kWp,275.57377049180326,235.36,122.0,3194.22,349682.83,228638.77
384,3.940kWh,NeoSolar,33.71 kWp,274.0650406504065,235.97,123.0,3202.45,350584.08,229228.05
385,3.950kWh,NeoSolar,33.80 kWp,274.7967479674797,236.58,123.0,3210.68,351485.32,229817.32
386,3.960kWh,NeoSolar,33.88 kWp,275.4471544715447,237.18,123.0,3218.92,352386.56,230406.6
387,3.970kWh,NeoSolar,33.97 kWp,273.9516129032258,237.79,124.0,3227.15,353287.81,230995.88
388,3.980kWh,NeoSolar,34.06 kWp,274.6774193548387,238.4,124.0,3235.38,354189.05,231585.15
389,3.990kWh,NeoSolar,34.14 kWp,275.3225806451613,239.0,124.0,3243.61,355090.3,232174.43
390,4.000kWh,NeoSolar,34.23 kWp,276.0483870967742,239.61,124.0,3251.85,355991.54,232763.7
391,4.010kWh,NeoSolar,34.32 kWp,274.56,240.22,125.0,3260.08,356892.79,233352.98
392,4.020kWh,NeoSolar,34.40 kWp,275.2,240.82,125.0,3268.31,357794.03,233942.25
393,4.030kWh,NeoSolar,34.49 kWp,275.92,241.43,125.0,3276.54,358695.28,234531.53
394,4.040kWh,NeoSolar,34.58 kWp,274.44444444444446,242.04,126.0,3284.78,359596.52,235120.8
395,4.050kWh,NeoSolar,34.66 kWp,275.07936507936506,242.64,126.0,3293.01,360497.76,235710.08
396,4.060kWh,NeoSolar,34.75 kWp,275.7936507936508,243.25,126.0,3301.24,361399.01,236299.35
397,4.070kWh,NeoSolar,34.84 kWp,274.3307086614173,243.86,127.0,3309.47,362300.25,236888.63
398,4.080kWh,NeoSolar,34.92 kWp,274.96062992125985,244.46,127.0,3317.71,363201.5,237477.9
399,4.090kWh,NeoSolar,35.01 kWp,275.6692913385827,245.07,127.0,3325.94,364102.74,238067.18
400,4.100kWh,NeoSolar,35.10 kWp,274.21875,245.68,128.0,3334.17,365003.99,238656.45
401,4.110kWh,NeoSolar,35.18 kWp,274.84375,246.28,128.0,3342.4,365905.23,239245.73
402,4.120kWh,NeoSolar,35.27 kWp,275.546875,246.89,128.0,3350.64,366806.48,239835.0
403,4.130kWh,NeoSolar,35.36 kWp,274.1085271317829,247.5,129.0,3358.87,367707.72,240424.28
404,4.140kWh,NeoSolar,35.44 kWp,274.72868217054264,248.1,129.0,3367.1,368608.96,241013.55
405,4.150kWh,NeoSolar,35.53 kWp,275.4263565891473,248.71,129.0,3375.33,369510.21,241602.83
406,4.160kWh,NeoSolar,35.62 kWp,274.0,249.32,130.0,3383.57,370411.45,242192.1
407,4.170kWh,NeoSolar,35.70 kWp,274.61538461538464,249.92,130.0,3391.8,371312.7,242781.38
408,4.180kWh,NeoSolar,35.79 kWp,275.3076923076923,250.53,130.0,3400.03,372213.94,243370.65
409,4.190kWh,NeoSolar,35.88 kWp,276.0,251.14,130.0,3408.26,373115.19,243959.93
410,4.200kWh,NeoSolar,35.96 kWp,274.5038167938931,251.74,131.0,3416.5,374016.43,244549.2
411,4.210kWh,NeoSolar,36.05 kWp,275.19083969465646,252.35,131.0,3424.73,374917.67,245138.48
412,4.220kWh,NeoSolar,36.14 kWp,275.87786259541986,252.96,131.0,3432.96,375818.92,245727.75
413,4.230kWh,NeoSolar,36.22 kWp,274.3939393939394,253.56,132.0,3441.19,376720.16,246317.03
414,4.240kWh,NeoSolar,36.31 kWp,275.07575757575756,254.17,132.0,3449.43,377621.41,246906.31
415,4.250kWh,NeoSolar,36.40 kWp,275.75757575757575,254.77,132.0,3457.66,378522.65,247495.58
416,4.260kWh,NeoSolar,36.48 kWp,274.2857142857143,255.38,133.0,3465.89,379423.9,248084.86
417,4.270kWh,NeoSolar,36.57 kWp,274.9624060150376,255.99,133.0,3474.12,380325.14,248674.13
418,4.280kWh,NeoSolar,36.66 kWp,275.6390977443609,256.59,133.0,3482.36,381226.39,249263.41
419,4.290kWh,NeoSolar,36.74 kWp,274.17910447761193,257.2,134.0,3490.59,382127.63,249852.68
420,4.300kWh,NeoSolar,36.83 kWp,274.85074626865674,257.81,134.0,3498.82,383028.87,250441.96
421,4.310kWh,NeoSolar,36.92 kWp,275.5223880597015,258.41,134.0,3507.05,383930.12,251031.23
422,4.320kWh,NeoSolar,37.00 kWp,274.0740740740741,259.02,135.0,3515.29,384831.36,251620.51
423,4.330kWh,NeoSolar,37.09 kWp,274.74074074074076,259.63,135.0,3523.52,385732.61,252209.78
424,4.340kWh,NeoSolar,37.18 kWp,275.4074074074074,260.23,135.0,3531.75,386633.85,252799.06
425,4.350kWh,NeoSolar,37.26 kWp,273.97058823529414,260.84,136.0,3539.98,387535.1,253388.33
426,4.360kWh,NeoSolar,37.35 kWp,274.63235294117646,261.45,136.0,3548.22,388436.34,253977.61
427,4.370kWh,NeoSolar,37.44 kWp,275.29411764705884,262.05,136.0,3556.45,389337.59,254566.88
428,4.380kWh,NeoSolar,37.52 kWp,275.88235294117646,262.66,136.0,3564.68,390238.83,255156.16
429,4.390kWh,NeoSolar,37.61 kWp,274.5255474452555,263.27,137.0,3572.91,391140.07,255745.43
430,4.400kWh,NeoSolar,37.70 kWp,275.1824817518248,263.87,137.0,3581.15,392041.32,256334.71
431,4.410kWh,NeoSolar,37.78 kWp,275.7664233576642,264.48,137.0,3589.38,392942.56,256923.98
432,4.420kWh,NeoSolar,37.87 kWp,274.42028985507244,265.09,138.0,3597.61,393843.81,257513.26
433,4.430kWh,NeoSolar,37.96 kWp,275.07246376811594,265.69,138.0,3605.84,394745.05,258102.53
434,4.440kWh,NeoSolar,38.04 kWp,275.6521739130435,266.3,138.0,3614.08,395646.3,258691.81
435,4.450kWh,NeoSolar,38.13 kWp,274.31654676258995,266.91,139.0,3622.31,396547.54,259281.08
436,4.460kWh,NeoSolar,38.22 kWp,274.9640287769784,267.51,139.0,3630.54,397448.79,259870.36
437,4.470kWh,NeoSolar,38.30 kWp,275.53956834532374,268.12,139.0,3638.77,398350.03,260459.63
438,4.480kWh,NeoSolar,38.39 kWp,274.2142857142857,268.73,140.0,3647.01,399251.27,261048.91
439,4.490kWh,NeoSolar,38.48 kWp,274.85714285714283,269.33,140.0,3655.24,400152.52,261638.19
440,4.500kWh,NeoSolar,38.56 kWp,275.42857142857144,269.94,140.0,3663.47,401053.76,262227.46
441,4.510kWh,NeoSolar,38.65 kWp,274.11347517730496,270.55,141.0,3671.7,401955.01,262816.74
442,4.520kWh,NeoSolar,38.74 kWp,274.7517730496454,271.15,141.0,3679.94,402856.25,263406.01
443,4.530kWh,NeoSolar,38.82 kWp,275.3191489361702,271.76,141.0,3688.17,403757.5,263995.29
444,4.540kWh,NeoSolar,38.91 kWp,275.9574468085106,272.37,141.0,3696.4,404658.74,264584.56
445,4.550kWh,NeoSolar,39.00 kWp,274.6478873239437,272.97,142.0,3704.63,405559.98,265173.84
446,4.560kWh,NeoSolar,39.08 kWp,275.2112676056338,273.58,142.0,3712.87,406461.23,265763.11
447,4.570kWh,NeoSolar,39.17 kWp,275.84507042253523,274.19,142.0,3721.1,407362.47,266352.39
448,4.580kWh,NeoSolar,39.26 kWp,274.54545454545456,274.79,143.0,3729.33,408263.72,266941.66
449,4.590kWh,NeoSolar,39.34 kWp,275.1048951048951,275.4,143.0,3737.56,409164.96,267530.94
450,4.600kWh,NeoSolar,39.43 kWp,275.73426573426576,276.01,143.0,3745.8,410066.21,268120.21
451,4.610kWh,NeoSolar,39.52 kWp,274.44444444444446,276.61,144.0,3754.03,410967.45,268709.49
452,4.620kWh,NeoSolar,39.60 kWp,275.0,277.22,144.0,3762.26,411868.7,269298.76
453,4.630kWh,NeoSolar,39.69 kWp,275.625,277.83,144.0,3770.49,412769.94,269888.04
454,4.640kWh,NeoSolar,39.78 kWp,274.3448275862069,278.43,145.0,3778.73,413671.18,270477.31
455,4.650kWh,NeoSolar,39.86 kWp,274.8965517241379,279.04,145.0,3786.96,414572.43,271066.59
456,4.660kWh,NeoSolar,39.95 kWp,275.51724137931035,279.65,145.0,3795.19,415473.67,271655.86
457,4.670kWh,NeoSolar,40.04 kWp,274.24657534246575,280.25,146.0,3803.42,416374.92,272245.14
458,4.680kWh,NeoSolar,40.12 kWp,274.7945205479452,280.86,146.0,3811.66,417276.16,272834.41
459,4.690kWh,NeoSolar,40.21 kWp,275.4109589041096,281.47,146.0,3819.89,418177.41,273423.69
460,4.700kWh,NeoSolar,40.30 kWp,274.1496598639456,282.07,147.0,3828.12,419078.65,274012.96
461,4.710kWh,NeoSolar,40.38 kWp,274.6938775510204,282.68,147.0,3836.35,419979.9,274602.24
462,4.720kWh,NeoSolar,40.47 kWp,275.3061224489796,283.29,147.0,3844.59,420881.14,275191.51
463,4.730kWh,NeoSolar,40.56 kWp,275.9183673469388,283.89,147.0,3852.82,421782.38,275780.79
464,4.740kWh,NeoSolar,40.64 kWp,274.5945945945946,284.5,148.0,3861.05,422683.63,276370.06
465,4.750kWh,NeoSolar,40.73 kWp,275.2027027027027,285.11,148.0,3869.28,423584.87,276959.34
466,4.760kWh,NeoSolar,40.82 kWp,275.81081081081084,285.71,148.0,3877.52,424486.12,277548.62
467,4.770kWh,NeoSolar,40.90 kWp,274.496644295302,286.32,149.0,3885.75,425387.36,278137.89
468,4.780kWh,NeoSolar,40.99 kWp,275.1006711409396,286.93,149.0,3893.98,426288.61,278727.17
469,4.790kWh,NeoSolar,41.08 kWp,275.7046979865772,287.53,149.0,3902.21,427189.85,279316.44
470,4.800kWh,NeoSolar,41.16 kWp,274.4,288.14,150.0,3910.45,428091.1,279905.72
471,4.810kWh,NeoSolar,41.25 kWp,275.0,288.74,150.0,3918.68,428992.34,280494.99
472,4.820kWh,NeoSolar,41.34 kWp,275.6,289.35,150.0,3926.91,429893.58,281084.27
473,4.830kWh,NeoSolar,41.42 kWp,274.3046357615894,289.96,151.0,3935.15,430794.83,281673.54
474,4.840kWh,NeoSolar,41.51 kWp,274.9006622516556,290.56,151.0,3943.38,431696.07,282262.82
475,4.850kWh,NeoSolar,41.60 kWp,275.49668874172187,291.17,151.0,3951.61,432597.32,282852.09
476,4.860kWh,NeoSolar,41.68 kWp,274.2105263157895,291.78,152.0,3959.84,433498.56,283441.37
477,4.870kWh,NeoSolar,41.77 kWp,274.80263157894734,292.38,152.0,3968.08,434399.81,284030.64
478,4.880kWh,NeoSolar,41.86 kWp,275.39473684210526,292.99,152.0,3976.31,435301.05,284619.92
479,4.890kWh,NeoSolar,41.94 kWp,274.11764705882354,293.6,153.0,3984.54,436202.29,285209.19
480,4.900kWh,NeoSolar,42.03 kWp,274.70588235294116,294.2,153.0,3992.77,437103.54,285798.47
481,4.910kWh,NeoSolar,42.12 kWp,275.29411764705884,294.81,153.0,4001.01,438004.78,286387.74
482,4.920kWh,NeoSolar,42.20 kWp,275.8169934640523,295.42,153.0,4009.24,438906.03,286977.02
483,4.930kWh,NeoSolar,42.29 kWp,274.61038961038963,296.02,154.0,4017.47,439807.27,287566.29
484,4.940kWh,NeoSolar,42.38 kWp,275.1948051948052,296.63,154.0,4025.7,440708.52,288155.57
485,4.950kWh,NeoSolar,42.46 kWp,275.7142857142857,297.24,154.0,4033.94,441609.76,288744.84
486,4.960kWh,NeoSolar,42.55 kWp,274.51612903225805,297.84,155.0,4042.17,442511.01,289334.12
487,4.970kWh,NeoSolar,42.64 kWp,275.0967741935484,298.45,155.0,4050.4,443412.25,289923.39
488,4.980kWh,NeoSolar,42.72 kWp,275.61290322580646,299.06,155.0,4058.63,444313.49,290512.67
489,4.990kWh,NeoSolar,42.81 kWp,274.4230769230769,299.66,156.0,4066.87,445214.74,291101.94
500,5.000kWh,NeoSolar,42.90 kWp,275.0,300.27,156.0,4075.10,446115.98,291691.22
